，	6554
的	2589
是	2171
糖	1978
不	1548
血	1519
有	1258
我	1249
一	1184
了	1165
吃	1085
。	897
可	893
以	882
好	869
？	730
要	720
就	682
多	679
药	679
高	629
.	607
个	596
病	591
么	590
能	580
尿	576
吗	558
在	557
时	544
大	536
动	533
后	522
素	520
这	512
天	502
您	490
餐	489
没	485
还	471
胰	458
岛	443
生	433
制	427
上	427
也	427
会	420
点	417
控	412
医	411
下	388
都	374
查	369
现	367
运	353
腹	351
用	349
空	344
少	338
食	331
量	327
小	324
谢	322
你	318
看	317
常	316
前	311
和	311
什	293
夫	290
说	289
果	285
测	265
低	261
如	257
那	254
到	254
问	249
打	248
2	246
很	244
样	241
、	240
二	238
体	238
白	238
化	238
晚	232
人	230
啊	228
6	227
怎	225
早	224
正	219
5	218
来	218
过	217
7	215
饮	215
降	215
1	214
中	213
张	211
年	206
喝	204
肾	204
-	201
减	201
蛋	201
因	197
比	193
为	193
分	192
发	191
加	188
经	188
饭	186
重	181
两	180
8	180
最	180
或	179
间	178
出	175
去	175
心	172
每	171
者	171
3	170
定	169
对	168
应	166
症	165
院	163
但	162
次	161
水	155
呢	154
起	153
觉	152
甲	151
感	150
些	149
适	148
月	147
吧	146
检	140
脂	140
太	137
睡	137
做	136
压	133
三	132
治	132
型	132
需	130
平	126
等	126
4	125
得	125
该	125
期	121
几	121
行	121
片	119
物	119
情	119
意	118
半	117
子	116
神	116
开	115
所	113
疗	113
性	111
并	110
管	110
长	109
注	108
道	106
题	106
关	106
合	106
明	105
主	105
想	105
午	104
方	104
知	104
别	104
慢	104
原	103
变	103
再	102
效	102
肉	102
试	101
哦	100
之	100
9	97
身	97
请	97
活	96
今	94
：	94
作	94
当	94
左	92
候	92
况	92
成	90
他	89
右	89
才	89
把	89
快	89
功	88
位	87
复	86
！	86
保	85
先	84
回	84
泌	83
内	83
红	83
自	82
菜	82
般	81
服	81
老	81
单	79
办	79
于	79
引	78
理	78
较	77
家	77
否	77
数	76
直	76
种	76
脚	75
肝	75
度	75
指	74
科	74
双	74
事	73
调	73
近	73
气	73
里	73
养	73
升	72
影	72
,	72
刚	71
响	71
状	71
其	70
然	70
给	70
换	70
损	70
岁	70
列	69
面	69
只	69
值	68
干	68
部	68
着	68
10	68
格	67
停	67
脉	67
眼	67
营	67
建	66
害	66
抗	66
走	65
嗯	65
议	64
导	64
周	64
超	63
系	63
钟	63
针	62
瘦	62
消	62
完	61
让	61
眠	61
手	61
算	61
米	60
标	60
息	60
己	60
结	60
力	60
腺	60
酒	59
外	59
斤	59
足	59
十	58
肌	58
持	57
们	57
稳	57
代	57
无	56
30	56
确	56
妈	56
增	56
波	56
住	56
进	56
致	55
脏	54
麻	53
易	53
改	53
头	53
微	53
酸	53
更	52
法	52
休	52
容	51
+	51
夜	50
而	50
准	49
反	49
昨	49
何	49
激	49
段	48
含	48
总	48
解	48
本	48
患	47
跟	47
诊	47
四	47
炎	47
质	47
呵	47
林	46
奶	46
油	46
又	46
始	45
腿	45
恩	45
基	45
胍	45
口	45
受	44
脑	44
缓	44
细	44
豆	44
哪	43
补	43
话	43
步	42
特	42
放	42
必	42
久	42
严	42
牛	42
黄	41
监	41
听	41
维	41
热	41
肥	41
验	41
液	41
伤	40
饿	40
第	40
锻	40
炼	40
学	40
节	40
像	40
挺	40
已	39
皮	39
紧	39
西	39
呀	38
泡	38
瓜	38
11	38
胆	38
整	37
诺	37
从	37
各	37
胃	37
考	36
传	36
围	36
客	36
吸	35
地	35
怕	35
同	35
利	35
处	35
饼	35
射	35
真	35
类	35
清	35
克	35
她	35
恢	34
12	34
规	34
差	34
强	34
底	34
孩	34
酐	34
肽	34
固	34
末	34
晨	33
葡	33
免	33
遗	33
块	33
啥	33
根	33
劳	33
梢	33
入	32
跑	32
实	32
预	32
观	32
轻	32
据	32
胖	32
康	32
；	32
失	32
茶	32
萄	31
疼	31
乐	31
阿	31
胞	31
痛	31
达	30
断	30
c	30
够	30
促	30
卡	30
硬	30
证	30
50	30
全	29
按	29
缺	29
通	29
六	29
0	29
异	29
短	29
鸡	29
虑	28
目	28
酮	28
善	28
相	28
除	28
便	28
副	28
健	28
肪	28
抵	28
醇	28
范	27
粒	27
安	27
渴	27
死	26
路	26
收	26
决	26
孕	26
晕	26
见	26
术	26
转	26
机	26
累	26
染	26
循	26
坚	25
木	25
且	25
公	25
参	25
耐	25
花	25
尽	25
肠	25
东	25
避	24
错	24
盐	24
[UNK]	24
包	24
与	24
师	24
斑	24
释	24
充	24
环	24
##r	24
续	23
汗	23
程	23
15	23
骨	22
须	22
?	22
贫	22
摄	22
察	22
区	22
找	22
粮	22
良	22
具	22
龙	22
凉	22
稍	22
粉	22
粥	22
散	22
混	22
继	21
计	21
显	21
带	21
电	21
儿	21
冬	21
买	21
拜	21
冒	21
嘴	21
初	21
止	21
品	21
闫	21
噢	21
排	20
麦	20
接	20
母	20
椎	20
/	20
冷	20
思	20
讲	20
刺	20
声	20
北	20
毒	20
敏	20
造	20
帮	20
车	20
肢	20
助	20
浆	20
13	19
烦	19
腰	19
怀	19
馒	19
毛	19
球	19
蔬	19
侧	19
危	19
视	19
急	19
苹	19
光	19
跳	19
号	19
越	19
蜂	19
暖	19
网	18
亲	18
虚	18
专	18
随	18
产	18
醒	18
及	18
100	18
担	18
舒	18
仪	18
八	18
教	18
b	18
官	18
丸	18
山	18
氧	17
非	17
防	17
统	17
五	17
优	17
钙	17
咋	17
它	17
至	17
式	17
睛	17
粘	17
表	17
鱼	17
望	17
黑	17
敢	16
风	16
概	16
使	16
速	16
杂	16
组	16
%	16
偏	16
限	16
破	16
疲	16
险	16
工	16
喜	16
马	16
首	16
燥	16
胶	16
抑	16
蜜	16
温	16
顿	16
牙	16
松	16
燕	15
厉	15
坐	15
坏	15
女	15
靠	15
静	15
选	15
配	15
40	15
鼻	15
苦	15
粗	15
百	15
季	15
床	15
滴	15
替	15
亢	15
友	15
七	15
囊	15
（	15
）	15
碗	14
信	14
烟	14
凌	14
愈	14
日	14
习	14
率	14
置	14
沙	14
态	14
边	14
映	14
邓	14
综	14
源	14
16	14
欢	14
葵	14
25	14
20	14
熬	14
宝	14
奥	14
菌	14
汤	13
抽	13
星	13
京	13
b1	13
难	13
密	13
乱	13
器	13
义	13
峰	13
估	13
班	13
哈	13
由	13
稠	13
颈	13
希	13
文	13
楚	13
爸	13
耳	13
精	13
扎	13
美	13
妊	12
图	12
惯	12
提	12
咨	12
询	12
依	12
任	12
衡	12
例	12
贵	12
肚	12
属	12
连	12
项	12
乏	12
劲	12
赶	12
味	12
龄	12
膜	12
延	12
终	12
供	12
存	12
料	12
24	12
80	12
甘	12
海	12
叶	12
溶	12
剂	12
条	12
玉	12
新	11
南	11
咸	11
绪	11
肯	11
照	11
耗	11
择	11
120	11
钾	11
名	11
华	11
d	11
冠	11
报	11
23	11
展	11
备	11
阳	11
满	11
阵	11
妇	11
辅	11
核	11
冰	11
懂	11
苏	11
氨	11
极	10
掉	10
楼	10
突	10
摩	10
隔	10
赖	10
告	10
构	10
流	10
肤	10
拉	10
紊	10
记	10
巴	10
纯	10
叫	10
切	10
频	10
板	10
困	10
均	10
取	10
即	10
份	10
羊	10
杯	10
献	10
萝	10
堵	10
挂	10
:	10
倍	10
国	10
香	10
##n	10
穿	10
枣	10
灵	10
慌	10
爬	9
业	9
娠	9
务	9
熟	9
炒	9
疾	9
青	9
汀	9
透	9
郁	9
被	9
14	9
甜	9
阴	9
障	9
钴	9
博	9
栓	9
谱	9
象	9
城	9
梗	9
塞	9
烈	9
杏	9
柿	9
卜	9
线	9
吐	9
伏	9
盒	9
男	9
腻	9
背	9
140	9
毫	9
啦	9
火	9
b12	9
@	9
淡	9
操	9
九	9
江	9
搏	9
吡	8
嗪	8
瑞	8
育	8
沫	8
偶	8
盘	8
护	8
析	8
尤	8
哎	8
宜	8
司	8
疑	8
